,id,text,time stamp
848,@saesaemadam1,"At around p.m. on January , a magnitude . earthquake occurred with its epicenter in the Noto region of Ishikawa Prefecture. At this time, we have not confirmed any impact of the earthquake on the Fukushima Daiichi and Daini Nuclear Power Plants and our main power system.",01-01-2024
849,@extrapolatemate,"An estimated . magnitude earthquake just struck Japan today. Epicenter Noto, Ishikawa Prefecture, depth very shallow and a Tsunami warning has been issued. Terrible start to the new year.",01-01-2024
851,@Nataly85416778,--,01-01-2024
852,@AbelTaiti,"EMERGENCY TSUNAMI WARNING in Japan. January , A tsunami warning has been issued. Please evacuate immediately. The epicenter of the earthquake was located in the Noto region of Ishikawa Prefecture at around . The depth of the epicenter is very shallow, and the",01-01-2024
854,@purple_kiyo21,OhEarthquakescary...The room shook....The epicenter is the Noto Peninsula. I live in so far place but so scary. I hope everyone is safe...,01-01-2024
859,@melange82,Ishikawa the prefecture closest to the epicenter of the earthquake is where I went to for my summer JP language program back in the day... The profs arranged for us student all to go up to Noto peninsula for a trip too...,01-01-2024
862,@koheinet608,"At around p.m. on January , there was an earthquake of intensity in Shiga Town, Ishikawa Prefecture. The epicenter was in the Noto region of Ishikawa Prefecture, and the depth of the epicenter was very shallow.The magnitude of the quake is estimated to be . on the",01-01-2024
864,@SaylorTwiftArt,"Pretty big earthquake . hit noto, ishikawa prefecture. Felt it pretty good down here in nagoya, but were in no danger of tsunami. Tsunami warnings of up to m near the epicenter",01-01-2024
866,@chokopai17,"There is an earthquake tsunami warning with the epicenter in Noto, Ishikawa Prefecture. I think there will be aftershocks in the future. Take care, everyone. On the way home, etc. various things,transportation, etc. Please be careful on your way home. Please evacuate",01-01-2024
867,@feed_economy_jp,"An earthquake has struck Japan. The epicenter of the earthquake was in the Noto region of Ishikawa Prefecture, with a very shallow epicenter and an estimated magnitude of ..",01-01-2024
869,@kiranjoshi235,"With audio Tsunami information January , The tsunami warning has been partially lifted. Information about the epicenter At around on the st, an earthquake occurred with its epicenter in the Noto region of Ishikawa Prefecture. Japon JapanEarthquake japan",01-01-2024
870,@HaydenSchiff,"from Matsunami, an area of Noto town maybe - miles from the epicenter",01-01-2024
871,@Write7Dave,"Tsunami warning issued after powerful earthquake strikes Japan An earthquake with a preliminary magnitude of . struck at about p.m. local time, with its epicenter on the Noto Peninsula, along the Sea of Japan, according to U.S. Geological Survey",01-01-2024
872,@tkhs1975,"The Noto Peninsula Earthquake of occurred with a magnitude of . and its epicenter was in the Noto Peninsula in Ishikawa Prefecture. Shiga Town, Hakui District experienced a seismic intensity of , four cities including Wajima City experienced a seismic intensity of , and",01-01-2024
874,@n_n0819,Attention Japanese Travelers A tsunami warning has been issued. Please evacuate now! Information on the epicenter Earthquake centered in the Noto region of Ishikawa Prefecture at approximately .,01-01-2024
875,@nthusharon,"Earthquake epicenter At around , an earthquake of magnitude . occurred in the Noto region of Ishikawa Prefecture. The depth of the epicenter was extremely shallow, reports of continuous aftershocks are emerging ...",01-01-2024
876,@emergencyinc2,Earthquake occurrence date and time January st around Epicenter name Ishikawa Prefecture Noto region depth very shallow magnitude M. Japan Earthquake live camera in IshikawaPrefecture,01-01-2024
883,@WIONews,"Gravitas Japan was jolted by a . magnitude earthquake on January st, , with its epicentre in the Noto region. The quake triggered fires, building collapses, and violent shaking of trains. Eyewitness videos captured the moment high waves hit Japans coast, raising fears Show more",01-01-2024
927,@abcnews,Tsunami warnings issued in Japan following magnitude-. earthquake A tsunami of up to five metres high is believed to be reaching Noto in the Ishikawa Prefecture more than km west of Tokyo according to Japans Meteorological Agency.,01-01-2024
1061,@MillieParfait,I didnt feel the earthquake today but a lot of people messaged me if I am okay and yes I am ok! I got confused until I saw the news! Please stay safe everybody and make sure you guys watch out for the news especially if youre in the affected area!,01-01-2024
9,@GeotechTips,"Imagenes del tsunami avanzando por canales en la peninsula de Noto, Ishikawa, Japon , producto de sismo de magnitud ..",02-01-2024
11,@VerdadeseNadaMa,"Japao Um terremoto de magnitude , na Peninsula de Noto, na provincia de Ishikawa, foi o mais forte a atingir a regiao desde . Um alerta de tsunami foi emitido pela primeira vez desde , quando um terremoto devastador no nordeste do pais matou mais de mil pessoas.",02-01-2024
20,@asalmendez,Que pensarian si les contara que en un equipo de geofisicos japoneses publico en la revista Scientific Reports un articulo en el que analizan el mecanismo que podria haber originado el sismo de .Mw que azoto hoy a Japon? El articulo se titula Episodic transient,02-01-2024
34,@EN_NERV,"Tsunami Advisory , am The Tsunami Advisory has been updated. Waves of up to m are expected. Those near coastal areas, rivers, or lakes should evacuate to higher ground immediately. tsunami",02-01-2024
49,@asalmendez,Increible !!! Los datos de GPS e interferometria arrojaron que en esta zona del noroeste de la peninsula de Noto en Japon la tierra se desplazo alrededor de m. Ahora las imagenes satelitales corroboran las observaciones y muestran que toda esta zona se levanto despues del,02-01-2024
66,@kaga_oren,"This is the current frequency of earthquakes. help me. too scary. Its always been like this. Both my little sister and the dog are crying. Neither my parents nor I can sleep. what will happen to us? History Occurrence time January , , Epicenter Noto region,",02-01-2024
73,@EN_NERV,"Earthquake Early Warning A large earthquake has occurred near Noto, Ishikawa Prefecture. Prepare for strong shaking in the areas of Ishikawa. earthquake",02-01-2024
110,@wecandaoit,We extend our condolences to those affected by the Noto Peninsula earthquake and are accepting donations for the relief efforts at this wallet address. Wallet address for donations xdfAaceaEeddd n,02-01-2024
178,@StarlayChan,"SCI is committed to supporting the Noto Peninsula Earthquake relief efforts in Japan. Weve submitted a proposal which contributes , from s treasury to help those affected by this disaster.",02-01-2024
230,@c7ob4ra,Latest earthquake information in Japan Number of deaths Tsunami warning has been canceled Land routes to the affected area have been cut off. Rescue operations are mainly carried out by air. Many people missing in many towns on the Noto Peninsula due to tsunami,02-01-2024
235,@The_Japan_News,", Ground Self-Defense Force Personnel Begin Rescue Operations in Affected Areas of Noto Peninsula Earthquake",02-01-2024
294,@SchoonerAmi2022,"A series of earthquakes hit the Noto Peninsula in Ishikawa Prefecture on January , causing minor tsunami, several fires and significant infrastructure damage in various parts of Ishikawa Prefecture. Further aftershocks remain a possibility and transport links are disrupted.",02-01-2024
305,@WIONews,JapanEarthquake Earthquake damages road near port in Japans Noto region WIONOriginals,02-01-2024
306,@ChaudharyParvez,Todays Video- Earthquake damages road near port in Japans Noto region At least people were killed after a powerful earthquake hit Japan on New Years Day. Video- Seiji Minami IshikawaPrefecture Japan JapanEarthquake deprem sismo Japon Tsunami,02-01-2024
314,@NewsX,"JapanEarthquake A powerful . magnitude earthquake struck Japan on New Years Day, triggering tsunami waves and causing extensive damage on the Noto Peninsula. Rescue teams face challenges reaching isolated areas with toppled buildings and disrupted roads. Prime Minister",02-01-2024
316,@NikhilT37865100,Todays Video- Earthquake damages road near port in Japans Noto region At least people were killed after a powerful earthquake hit Japan on New Years Day. Video- Seiji Minami IshikawaPrefecture Japan JapanEarthquake deprem sismo Japon Tsunami,02-01-2024
344,@afpfr,"Une course contre la montre a commence au Japon pour retrouver des survivants apres un seisme qui a devaste hier la peninsule de Noto, dans le centre du pays, faisant morts selon le dernier bilan provisoire AFP AFPVertical",02-01-2024
348,@TheInsiderPaper,"BREAKING Earthquake with a magnitude of . occurred near Noto, Ishikawa Prefecture in Japan.",02-01-2024
350,@japantimes,"Scenes of the aftermath of a powerful earthquake, registered at the highest level on Japans intensity scale, that struck Ishikawa Prefectures Noto Peninsula as the nation was marking New Years Day.",02-01-2024
353,@japantimes,"BREAKING An earthquake registering magnitude ., a strong on the Japanese shindo scale, hit the Noto Peninsula, Ishikawa Prefecture, on the north coast of central Japan, at a.m. This area was hit by a massive . quake on Monday afternoon.",02-01-2024
503,@AbroadInJapan,"While I planned to start this year with a positive post looking back at , instead I want to wish everyone well living in Ishikawa and the Noto Peninsula, who experienced a powerful magnitude . earthquake today on Japans west coast. A sad and unfortunate start to .",02-01-2024
511,@MiguelTorrucoG,"ULTIMA HORA TERREMOTO AZOTA JAPON La region de Ishikawa en Japon recibio el , con una sucesion de terremotos, el mas poderoso que se registro fue de . grados, generando alertas de tsunami en toda la costa occidental del pais.",02-01-2024
526,@ndtv,"JapanEarthquake Japan Hit By Earthquakes In A Day, Dead, Several Injured - US Geological Survey said the quake, which struck Ishikawa prefecture, had a magnitude of .. - Waves at least . metres high hit the port of Wajima - Around , households in the region",02-01-2024
537,@ActualidadRT,"El sismo de magnitud , ocurrido en la prefectura japonesa de Ishikawa fue el mas fuerte desde que comenzaron los registros en el pais en , informan medios locales citando a la Agencia Meteorologica de Japon.",02-01-2024
566,@NHKWORLD_News,"Following Mondays magnitude . earthquake in Ishikawa Prefecture on the Sea of Japan, seismic activity has been observed continuously in the area.",02-01-2024
570,@NHKWORLD_News,A magnitude-. earthquake struck Ishikawa Prefecture in central Japan on Monday. The quake has left at least four people dead in the prefecture. Visit our live coverage page for the latest,02-01-2024
577,@NHKWORLD_News,"At least six people have been reported dead in Ishikawa Prefecture on the Sea of Japan, after a magnitude . earthquake struck the region on Monday afternoon.",02-01-2024
579,@CNN,"At least people have died in Japans Ishikawa prefecture following a . magnitude earthquake, local authorities say. Follow live updates.",02-01-2024
580,@cnnbrk,"At least people have died in Japans Ishikawa prefecture following a . magnitude earthquake, local authorities say. Follow live updates.",02-01-2024
658,@drjwalk,Not the way Japan hoped to start between a major earthquake in Ishikawa and flight accident at Haneda...praying for the victims and rescue efforts underway as we stand in solidarity with the people of Japan.,02-01-2024
682,@ZT_Followers,"Earthquake may have shifted land . meters The powerful earthquake that rocked Ishikawa Prefecture on Monday may have shifted land in the Noto region near the epicenter up to . meters to the west. Japans Geospatial Information Authority, known as GSI, analyzed GPS data",02-01-2024
683,@AtelierFelicia,I would like to express my deepest sympathies to everyone affected by the earthquake disaster in the Noto region of Ishikawa. africanfabrics ghana japan,02-01-2024
685,@kawataru_j,"M. earthquake on Japanese shindo scale Ishikawa pref, Noto region JST January No tsunami warning issued earthquake tsunami Ishikawa Japan",02-01-2024
689,@smartertapping,"Specialists estimate that the magnitude . earthquake in Japan moved the terrain of the Noto region about . m to the west, Japanese officials believe Mondays powerful earthquake moved the ground in the Noto region by up to .m to the west, according to Sky News. Japans",02-01-2024
690,@yuzuspiration,"Currently, they are not dealing with donations, but here are their suggestions for the Noto region earthquake",02-01-2024
724,@NHKWORLD_News,The powerful earthquake that rocked Ishikawa Prefecture on Monday may have shifted land in the Noto region near the epicenter up to . meters to the west.,02-01-2024
725,@PhilstarNews,"A badly damaged building can be seen along a street in the city of Wajima, Ishikawa prefecture on January , , after a major . magnitude earthquake struck the Noto region in Ishikawa prefecture in the afternoon. Tsunami waves over a meter high hit central Japan on January",02-01-2024
729,@yuzuspiration,This is the Japan NPO that some of us fanyus donate to during Yuzus birthday. Their thread mentions volunteer recruitment and donations for the Noto region earthquake. Please take a look.,02-01-2024
734,@ftfKcGSnUSyQf0k,"Man-made earthquakes. In Japan, a colony of the Illuminati, there was a large earthquake in the Noto region of Ishikawa Prefecture just after pm on January st. Evil people artificially cause disasters and take peoples lives and livelihoods. EU",02-01-2024
741,@inquirerdotnet,"LOOK This aerial photo shows buildings burning in Wajima, Ishikawa prefecture, on January , , after a . magnitude earthquake struck the Noto region in Ishikawa prefecture in the afternoon. Tsunami waves over a meter high hit central Japan on January after a series of",02-01-2024
742,@Sakura_Ishadoh,"Heres a link to the Yahoo Funding website, for those looking for ways to help the people affected by the earthquake in the Noto region. Yahoo! - Yahoo!",02-01-2024
745,@Mario_HY_KKe_EK,"There was big earthquake in Noto region. People living there, be careful because There are still some earthquakes and Tsunami alert is still continuing",02-01-2024
749,@inquirerdotnet,"LOOK The major . magnitude earthquake that struck the Noto region in Ishikawa prefecture in Japan on Jan. , , has killed at least six people and left a trail of destruction. Fred Mery AFPTV AFP Read more",02-01-2024
751,@norishikata,"Earthquake may have shifted land . meters NHK WORLD-JAPAN News The powerful earthquake that rocked Ishikawa Prefecture on Monday may have shifted land in the Noto region near the epicenter up to . meters to the west. Japans Geospatial Information Authority, known as",02-01-2024
777,@cgtnafrica,"A magnitude-. earthquake hit Noto region in Japans Ishikawa Prefecture at a.m. local time on Wednesday, according to Japan Meteorological Agency.",02-01-2024
812,@ninja_padrino,"Waking up to news that tsunami warning still applies to entire Japan Sea side of Japan, highest level alert downgraded for area closest to Noto epicenter - still requires vigilance for possibility of additional quakes. For now, thankful no devastating tsunami has come",02-01-2024
824,@ninja_padrino,"Wajima, Ishikawa is km from Noto quake epicenter - a small town with population of , people and known for their lacquerware and morning market",02-01-2024
828,@AndyVermaut,Andy Vermaut sharesIn photos The aftermath of the New Years day quake in Japan A . magnitude earthquakewhich at its epicenter was ranked shindo the highest level on Japans intensity scale struck Ishikawa Prefectures Noto... Thank you.,02-01-2024
839,@girlie_mac,"I was back in my hometown near the epicenter a few months ago. And now, a large area of beautiful Noto is destroyed",02-01-2024
850,@prizzaaaa,"Eita essa pessoa disse que houve um tsunami na cidade de Noto e as midias nao estao divulgando! Essa vila foi inundada e casas inteiras desapareceram... Emissoras estao entrando em contato com a pessoa do post, parece q foi numa dessas cidades q so vivem idosos e por isso",02-01-2024
853,@JRE_Super_Exp_E,--,02-01-2024
858,@RobS____,The powerful earthquake that rocked Ishikawa Prefecture on Monday may have shifted land in the Noto region near the epicenter up to . meters to the west.,02-01-2024
860,@DottirGongu,"New updated land shift The powerful earthquake that rocked Ishikawa Prefecture on Monday caused crustal changes of up to meters in the Noto region near the epicenter. Japans Geospatial Information Authority, GSI, analyzed crustal movements before and after ...",02-01-2024
868,@Symbol_XYM_G,"To everyone overseas. At around on January , , an earthquake occurred with the epicenter on the Noto Peninsula in Ishikawa Prefecture, and shaking with a seismic intensity of and a magnitude of . was observed. NEMTUS take seriously the serious damage caused by",02-01-2024
879,@asalmendez,"Estoy leyendo un articulo bien jugoso de lo geofisicos japoneses, la verdad no se andan con medias tintas cuando se trata de mecanismos formadores de sismos. En un ratito les comparto un resumen que podria dar pistas del origen del sismo . Mw en la peninsula de Noto. Japon.",02-01-2024
880,@Michael45231497,Japa - The powerful earthquake that rocked Ishikawa Prefecture on Monday caused crustal changes of up to meters in the Noto region near the epicenter.,02-01-2024
886,@LatuffCartoons,--,02-01-2024
888,@asalmendez,Que pensarian si les contara que en un equipo de geofisicos japoneses publico en la revista Scientific Reports un articulo en el que analizan el mecanismo que podria haber originado el sismo de .Mw que azoto hoy a Japon? El articulo se titula Episodic transient Show more,02-01-2024
944,@Cecalli_Helper,HEPCO Japan operator of Shika nuclear power plant in quake-hit Ishikawa Prefecture says systems to supply electricity to the facility from outside sources remain partially unusable. Noto earthquake Go GreenNewDeal nonukes tech security,02-01-2024
972,@business,LATEST At least people were killed and scores injured in a powerful earthquake that hit off the Noto Peninsula on Japans northwest coast,02-01-2024
975,@business,"At least six people were killed and others injured in a powerful earthquake that hit off the Noto Peninsula on Japans northwest coast, wrecking buildings, buckling roads and triggering fires Heres the latest",02-01-2024
976,@business,The death toll from a powerful earthquake that toppled buildings in the Noto Peninsula on Japans northwest coast rises to nearly as rescue workers search for survivors trapped under rubble,02-01-2024
977,@asalmendez,Increible !!! Los datos de GPS e interferometria arrojaron que en esta zona del noroeste de la peninsula de Noto en Japon la tierra se desplazo alrededor de m. Ahora las imagenes satelitales corroboran las observaciones y muestran que toda esta zona se levanto despues del Show more,02-01-2024
978,@kaga_oren,"This is the current frequency of earthquakes. help me. too scary. Its always been like this. Both my little sister and the dog are crying. Neither my parents nor I can sleep. what will happen to us? History Occurrence time January , , Epicenter Noto region, Show more",02-01-2024
982,@michiokaku,"I appeared on to discuss the terrible earthquake that struck the Noto Peninsula of Ishikawa Prefecture, Japan today. Watch the video here now for free. earthquake japanearthquake",02-01-2024
1015,@kyodo_english,Replying to,02-01-2024
1028,@NetZero_Earth,climate The death toll from a powerful earthquake that toppled buildings in the Noto Peninsula on Japans northwest coast rises to nearly as rescue workers search for survivors trapped under rubble,02-01-2024
1046,@TouTzuSays,The death toll from a powerful earthquake that toppled buildings in the Noto Peninsula on Japans northwest coast rises to nearly as rescue workers search for survivors trapped under rubble via,02-01-2024
1052,@climate,The death toll from a powerful earthquake that toppled buildings in the Noto Peninsula on Japans northwest coast rises to nearly as rescue workers search for survivors trapped under rubble,02-01-2024
1068,@BloombergAsia,The death toll from a powerful earthquake that toppled buildings in the Noto Peninsula on Japans northwest coast rises to nearly as rescue workers search for survivors trapped under rubble,02-01-2024
1069,@BloombergNRG,The death toll from a powerful earthquake that toppled buildings in the Noto Peninsula on Japans northwest coast rises to nearly as rescue workers search for survivors trapped under rubble,02-01-2024
2,@MacLesggy,Comment une construction antisismique se comporte pendant le seisme de Noto le . geniecivil,03-01-2024
38,@AlertaMundoNews,"ULTIMA HORA Se produce un nuevo sismo de magnitud , en la peninsula de Noto-Japon.",03-01-2024
40,@ActualidadRT,"Nuevo sismo de magnitud , sacude la peninsula de Noto en Japon",03-01-2024
77,@DeeNinis,"Observed uplift L Before earthquake, R After earthquake at Wajima Fishing Port km from the epicentre of the M. earthquake at Noto Peninsula Japan The Geospatial Information Authority of Japan now estimate this site experienced up to m of uplift",03-01-2024
91,@mrjeffu,An extremely sad clip from ANNs coverage of the Noto Earthquake this mans wife was on the first floor of his house when it collapsed. He called for help but was told there isnt enough rescue equipment and hes basically on a waiting list.,03-01-2024
93,@mrjeffu,Video Japan Ground Self-Defense Force vehicles are arriving at the Noto Peninsula to begin their earthquake relief mission. The yellow banners on each vehicle indicate the home base of the units that have been deployed.,03-01-2024
98,@mrjeffu,"Video Scenes of destruction uploaded by a resident of Suzu, a town on the Noto Peninsula, where an estimated of houses were destroyed by Mondays earthquake.",03-01-2024
99,@mrjeffu,This video shows what the roads are like on the Noto Peninsula after Mondays earthquake in Japan. The uploader says this was recorded near Anamizu City.,03-01-2024
111,@MarineTraffic,"Rescue Efforts Escalate in Wajima, Japan In response to the . magnitude earthquake in Japans Noto region, a robust rescue operation has been mobilised in the Wajima area, with Navy Coastal Guard vessels engaging in relief efforts along the tsunami-hit west coast.",03-01-2024
122,@amalgamidol,"vocaloid fans!! for you can get unreleased content from your favorite producers, all funds will be donated to relief efforts for the recent noto peninsula earthquake in a few participants ichii izu GoBS mizumizu namazu mashima yuro x punimaru utagawa shiki",03-01-2024
134,@DougDinsdale,Stone pillars and lanterns survived the Noto Peninsula Quake due to the foresight of their designers and constructers Rounded ends helped absorb the force.,03-01-2024
171,@EpicsDAO2,We have made a modest donation from our NFT sales to support the earthquake relief efforts in the Noto Peninsula. We hope this contribution provides some support to those affected,03-01-2024
243,@BangkokPostNews,"KYODO - At least people were killed in the powerful earthquake that jolted the Noto Peninsula and surrounding areas in central Japan on New Years Day, with rubble and severed roads still preventing search and rescue operations on Wednesday. Full stor...",03-01-2024
245,@GabbyWEUNV,"Japan Earthquake Death Toll Hits , Rescue Operations Underway Japan News Noto Quake INV JapaneseMilitary JapaneseMilitary JapaneseArmy Japan Video Multiple tremors have jolted Japan killing at least people since the quake first hit on...",03-01-2024
246,@ChinaNewsVideo,"Japan Earthquake Death Toll Hits , Rescue Operations Underway Japan News Noto Quake INV JapaneseMilitary JapaneseMilitary JapaneseArmy Japan Video Multiple tremors have jolted Japan killing at least people since the quake first hit on...",03-01-2024
255,@FujiiPonta,"At least people were killed in the powerful earthquake that jolted the Noto Peninsula and surrounding areas in central Japan on New Years Day, with rubble and severed roads still preventing search and rescue operations on January .",03-01-2024
262,@GulfTimes_QATAR,"At least people were killed in the powerful earthquake that jolted the Noto Peninsula and surrounding areas in central Japan, with ongoing difficulties in search and rescue operations due to debris and blocked roads. . . earthquakes Japan",03-01-2024
318,@CCTV_Plus,"Another series of earthquakes in Japans Noto Peninsula on Wednesday morning has inflicted more damage following a devastating quake on New Years Day, with the latest tremors causing cracks on road surfaces and even seeing some sections cave-in.",03-01-2024
354,@RTultimahora,"ULTIMAHORA Nuevo sismo de magnitud , sacude la peninsula de Noto en Japon",03-01-2024
356,@mrjeffu,"Video A huge landslide destroys several houses in Wajima. As days pass and evacuees make their way to safe places with stable internet connections, well probably hear more eyewitness accounts and see more footage of Noto Peninsula Earthquake.",03-01-2024
423,@woodpony1,Reiwa Morning of January rd Good morning Aftershocks with a seismic intensity of continue in the Noto Peninsula during the night. I pray that the time,03-01-2024
574,@volcaholic1,"At least people are confirmed dead and many more are feared trapped under collapsed houses after Mondays devastating earthquake in Ishikawa Prefecture, central Japan. Tens of thousands are still without electricity.",03-01-2024
578,@NHKWORLD_News,"Central Japan continues to be rocked by earthquakes following the deadly magnitude . temblor on New Years Day. Rescue operations are ongoing in hard-hit Ishikawa Prefecture, where officials say people are confirmed dead.",03-01-2024
586,@NHKWORLD_News,The Japanese government says at least hectares across two municipalities of Ishikawa Prefecture were flooded by tsunami following Mondays massive earthquake.,03-01-2024
677,@IndianExpress,"Japans north-central region of Noto experienced a .-magnitude earthquake that resulted in the triggering of tsunami waves, prompting authorities to urge people to evacuate. Japan has a history of facing such disasters, as evidenced by the earthquake and tsunami,",03-01-2024
692,@kawataru_j,"M. earthquake on Japanese shindo scale Ishikawa pref, Noto region JST January No tsunami warning issued earthquake tsunami Ishikawa Japan",03-01-2024
714,@ANAFlightInfo_e,"Domestic Bad Weather Alert for JAN . Akita low visibility, Hachijojima strong wind. Please note that due to the earthquake that occurred in the Noto region of Ishikawa Prefecture, flights tofrom Shonai, Niigata, Noto, Toyama, Komatsu airports may be affected. Latest",03-01-2024
769,@ABSCBNNews,"IN PHOTO A resident is carried out after being rescued by firefighters in the city of Suzu, Ishikawa prefecture, after a major . magnitude earthquake struck the Noto region in Ishikawa prefecture on New Years Day.",03-01-2024
816,@shaheen333777,The .-magnitude earthquake that struck Japans Noto peninsula on Monday has killed dozens. Authorities have continued to look for people buried in the rubble of collapsed and burned buildings in the coastal epicenter of the disaster. JapanEarthquake KARINA,03-01-2024
825,@nytimes,"The earthquake that struck Japans Noto peninsula on Monday has killed dozens, and authorities continued to look for people buried in the rubble of collapsed and burned buildings in the coastal epicenter of the disaster.",03-01-2024
827,@ChiDtc64083,The Earths crust shifted meters after the Japan earthquake The strong earthquake that shook Ishikawa Prefecture caused crustal changes of up to meters on the Noto Peninsula near the epicenter.,03-01-2024
833,@CityofMonterey,"Our hearts are with everyone affected by the major earthquake that struck the Noto Peninsula, Japan on New Years Day. The epicenter is miles from our long time sister city Nanao. We are here for you, well do everything we can to help you through this tragedy.",03-01-2024
835,@CBSNews,"Cracked open streets, a damaged temple and collapsed buildings were seen in Noto, Japan, two days after a powerful earthquake struck. Noto is close to the epicenter of the quake, which killed at least people according to national media.",03-01-2024
840,@HelenAnnSmith0,"Driving up the Noto Peninsula today, towards where the epicenter of the New Years Day earthquake was. The closer we get the more damage there is, land slides, collapsed roofs and huge fissures in the roads",03-01-2024
943,@ChinaNewsVideo,"Japan Earthquake . Magnitude Earthquake strikes Japan, triggering tsunami warning WION SouthKoreaTechnology SouthKoreaBioTech SouthKorean Video Japan was jolted by a . magnitude earthquake on January st, , with its epicentre in the Noto...",03-01-2024
966,@AI_Fukuzawa,Japans Noto Peninsula Earthquake in A Calm Summary of the Air Self-Defense Forces Relief Efforts,03-01-2024
1005,@ShahriyarGourgi,"LOOK The major . magnitude earthquake that struck the Noto region in Ishikawa prefecture in Japan on Jan. , , has killed at least six people and left a trail of destruction. Fred Mery AFPTV AFP Read more",03-01-2024
1042,@NoriGuide,A Japan Airlines plane and a Japan Coast Guard aircraft collided at Haneda Airport. The JCG plane was supposed to be carrying supplies for survivors of the Noto Peninsula earthquake that occurred on New Years Day. japan tokyo JAL airplanecrash,03-01-2024
1070,@vision_times,"The . magnitude quake, which struck the Noto Peninsula in the Ishikawa prefecture on Monday afternoon Jan. , has triggered a desperate race against time to find survivors amid the rising death toll.",03-01-2024
30,@mondoterremoti,"Guardate come si e sollevato il fondale marino del porto di Kaiso, sulla penisola di Noto, in seguito al violento terremoto di lunedi. Parliamo di variazioni comprese tra i e i , metri in tutto il circondario e un avanzamento della linea di costa di m. Giappone",04-01-2024
65,@WxNB_,The earthquake that struck Japans Noto peninsula on Monday was so strong that the coastline has moved up to meters offshore due to significant land uplift.,04-01-2024
74,@BBCAmos,"Japans ALOS- satellite showed clearly where on the Noto Peninsula the greatest uplift had occurred during Mondays M. quake. Researchers have now visited this area to document the major coastal movements, including at Kaiso port. HT",04-01-2024
97,@mrjeffu,"A clip from Asahi TV shows that a lot of relief supplies are accumulating in Kanazawa, but theyve hit a bottleneck because the earthquake has inflicted heavy damage on the Noto Peninsulas roads. Trucks cant reach some of the worst-hit areas.",04-01-2024
100,@mrjeffu,NHK has shared scenes of earthquake damage in the Noto Peninsula. One man seems to be living in his truck with his dog because evacuation centers dont allow pets.,04-01-2024
104,@mrjeffu,"ARROWS Airborne Rescue Relief Operations With Search has shared this video of the work theyre doing in the Noto Peninsula. Theyve deployed a team of rescue workers, together with Roger the rescue dog.",04-01-2024
107,@mrjeffu,Video Osaka police held a departure ceremony this morning for the police officers and police dogs they are sending to assist with earthquake relief and search rescue efforts in the Noto Peninsula.,04-01-2024
123,@AvgAsianJoe248,"World News Japan - Earthquake. Japanese rescuers race to find survivors as quake death toll rises to . Scale of damage to roads and poor weather hamper relief efforts, three days after quake off Noto Peninsula.",04-01-2024
143,@mrjeffu,"As Japanese search and rescue teams struggled to check the many collapsed buildings in the Noto Peninsula, Taiwan was ready to send rescue workers to help. The Japanese government told Taiwan that they were not needed.",04-01-2024
168,@aegroup_viva,"There will be an archive for Kanju Akeome stream! Do take note that archive ends on the same day Fri at pm Also, part of the proceeds from the stream will be donated to support disaster relief efforts for the Noto Peninsula Earthquake.",04-01-2024
234,@benbeechphoto,"Extremely saddened to hear that the Wajima-nuri craftspeople I was up in Noto documenting last year have lost everything in the quake. Their workshop and extensive collection of lacquerware, parts of which date back some years were all destroyed in the fire.",04-01-2024
264,@EruditeRisk,Prime Minister Fumio Kishida announced plans to double the number of Self-Defense Force personnel for rescue and lifesaving operations following the Noto Peninsula earthquake.,04-01-2024
283,@SkyNews,"Roads have collapsed in Noto Peninsula, Japan, swallowing up cars following the most recent . magnitude earthquake. Over earthquakes have hit Japan since New Years Day.",04-01-2024
376,@RedGeoChile,"Continuan difundiendose registros del momento exacto del terremoto . Mw que golpeo la peninsula de Noto, Japon. La pintoresca y rocosa Isla Mitsuke esta ubicada a kilometros al sur de la costa de la ciudad de Suzu, prefectura de Ishikawa. Via X.",04-01-2024
530,@bizconsuloffice,Ishikawa Living Support Center Noto Peninsula EarthquakeMultilingual Consultation Desk URL ihotline ishikawa,04-01-2024
535,@Reuters,"Eyewitness video shot on January shows Wajima residents escaping a landslide after a deadly earthquake struck Japans Ishikawa Prefecture. In the footage, the landslide crashes down destroying houses in its path as a crack develops on the road",04-01-2024
721,@SonyGroupGlobal,The Sony Group extends its deepest condolences and sympathy to all those affected by the Noto Peninsula earthquake. We pray for a full and swift recovery across the region.,04-01-2024
792,@zulfikaradlan,"A quick analysis of the water level recorded from TG stations on the northern side of Honshu Sea of Japan after the . EQ shows the extent of the tsunami wave. The station closest to the epicenter Noto was instantly damaged, while another TG Toyama and Sado shows",04-01-2024
808,@AnimetopiaJapan,"Report by BBfrom Wajima City, Noto Peninsula, near the epicenter",04-01-2024
820,@trendforce,"Japan Ushers in with a Seismic Jolt A . magnitude earthquake rocked the Noto Peninsula in Ishikawa Prefecture on the afternoon of January st. Its epicentera mere kilometers beneath the surfaceplaces it in the shallow quake category, amplifying its destructive reach.",04-01-2024
826,@MalikNaveed_K,"Earthquake intensity January , At around , there was an earthquake with its epicenter in the Noto region of Ishikawa Prefecture. The depth of the epicenter is approximately km, and the magnitude of the earthquake is estimated to be M..",04-01-2024
