text,date,processed_text
Hey    Turkish users are getting a rate limit exceeded warning every time they try to send consecutive tweets. Thought you may want to look at that    ,2023-02-06 13:04:30+00:00,hey turkish users are getting rate limit exceeded warning every time they try to send consecutive tweets thought you may want to look at that 
May Allah have mercy on all those who passed away and make it easy for all those affected by the devastating earthquake in Turkey &amp; Syria    ,2023-02-06 13:04:30+00:00,may allah have mercy on all those who passed away and make it easy for all those affected by the devastating earthquake in turkey amp syria 
We Stand with Turkey ,2023-02-06 13:04:31+00:00,we stand with turkey 
🔔 ( M3.9 occurred 21 km E of  ( 37 min ago (local time 15:27:46). More info at:📱🌐🖥 ,2023-02-06 13:04:33+00:00, occurred km of min ago local time smile more info at 
"🚨 Former Newcastle United star Christian Atsu is among the victims reportedly trapped under rubble after a massive earthquake struck Turkey, prompting search and rescue efforts. The  We wish everyone who has been injured a speedy recovery.  ",2023-02-06 13:04:33+00:00, former newcastle united star christian atsu is among the victims reportedly trapped under rubble after massive earthquake struck turkey prompting search and rescue efforts the we wish everyone who has been injured speedy recovery 
"My heart is heavy for people in    , May Allah have mercy on them.Amen ",2023-02-06 13:04:34+00:00,my heart is heavy for people in may allah have mercy on them amen 
"Turkey has declared a fourth level alert state. The ""level 4"" alarm condition includes an international call for help. For those pf you around the world reading this message.. Our people who were under the rubble of earthquake in my country need your help to be saved. ",2023-02-06 13:04:40+00:00,turkey has declared fourth level alert state the level alarm condition includes an international call for help for those pf you around the world reading this message our people who were under the rubble of earthquake in my country need your help to be saved 
 scenes Scary.. ,2023-02-06 13:04:41+00:00, scenes scary 
"BREAKING:  At least 1,600 dead in a massive 7.8 Earthquake in Turkey and Syria this morning. Prayers 🙏 go out to our brothers and sisters and everyone in the region.        ",2023-02-06 13:04:43+00:00,breaking at least dead in massive earthquake in turkey and syria this morning prayers go out to our brothers and sisters and everyone in the region 
Thinking about all those who have lost family and friends in    ,2023-02-06 13:04:47+00:00,thinking about all those who have lost family and friends in 
  hitting back to back centuries in 1998 at  specially the Desert Storm             ,2023-02-06 13:04:50+00:00, hitting back to back centuries in at specially the desert storm 
Prayers for all affected areas     ,2023-02-06 13:04:54+00:00,prayers for all affected areas 
"🚨The aftermath of the powerful earthquake on the streets of Gaziantep, southern  : Local source   ",2023-02-06 13:04:57+00:00, the aftermath of the powerful earthquake on the streets of gaziantep southern local source 
" In such a situation, the whole world should come forward and help Turkey in every way, this is a natural calamity which can happen anywhere. ",2023-02-06 13:05:03+00:00, in such situation the whole world should come forward and help turkey in every way this is natural calamity which can happen anywhere 
People wait in hope for families to be rescuedRescuers are racing to save people trapped beneath the rubble after hundreds of buildings collapsed in both countries.       ,2023-02-06 13:05:04+00:00,people wait in hope for families to be rescuedrescuers are racing to save people trapped beneath the rubble after hundreds of buildings collapsed in both countries 
Pray for  and Syria 💔😔 ,2023-02-06 13:05:06+00:00,pray for and syria 
"Breaking: The Gaziantep Castle, which was built more than 2,200 years ago, collapsed during the earthquake.  ",2023-02-06 13:05:11+00:00,breaking the gaziantep castle which was built more than years ago collapsed during the earthquake 
Türkiye 💔 My thoughts and prayers are with the people!,2023-02-06 13:05:14+00:00,türkiye my thoughts and prayers are with the people 
   Pray For Turkey ,2023-02-06 13:05:20+00:00, pray for turkey 
"Earthquakes continue to rock Turkey. Another 6.0 quake hit Turkey few mins ago, along with numerous aftershocksPeople in Turkey have already felt 46 earthquakes of varying magnitude in the last 12 hours alone  ",2023-02-06 13:05:26+00:00,earthquakes continue to rock turkey another quake hit turkey few mins ago along with numerous aftershockspeople in turkey have already felt earthquakes of varying magnitude in the last hours alone 
IT IS ANNOUNCED THAT A TOTAL OF 1710 BUILDINGS HAVE BEEN DESTROYED DUE TO THE EARTHQUAKE There are aftershocks or buildings that have been damaged and subsequently demolished     ,2023-02-06 13:05:27+00:00,it is announced that total of buildings have been destroyed due to the earthquake there are aftershocks or buildings that have been damaged and subsequently demolished 
  We praying for u Atsu 🙏🙏🙏🙏 ,2023-02-06 13:05:32+00:00, we praying for atsu 
Praying for people in Turkey.  🙏🏻,2023-02-06 13:05:32+00:00,praying for people in turkey 
"A 7.8-magnitude  struck southeastern  and  early Monday, toppling  of  and  1,300 people.     is located in a zone of large seismic faults and registers frequent  ",2023-02-06 13:05:33+00:00, magnitude struck southeastern and early monday toppling of and people is located in zone of large seismic faults and registers frequent 
 This guy warned two days ago  ,2023-02-06 13:05:33+00:00, this guy warned two days ago 
"Indonesia 2004, Haiti 2010, China 2008, Pakistan 2005, Iran 2003 Japan 2011, India 2001, Nepal 2015, TURKEY 2023... We should be united and help each other. no more bullshit, war and etc   ",2023-02-06 13:05:37+00:00,indonesia haiti china pakistan iran japan india nepal turkey we should be united and help each other no more bullshit war and etc 
"2,200 Years Old  Castle Destroyed By Earthquake ( In  . :  ",2023-02-06 13:05:38+00:00, years old castle destroyed by earthquake in 
Prays for 🇮🇳 🇹🇷,2023-02-06 13:05:50+00:00,prays for 
Thoughts and Prayers with all those affected by the Earthquakes in Syria and Turkey Ya Allah hv mercy on muslim ummah every one is suffering either by natural disasters or by induced suppressed by supressors💔💔💔  💔,2023-02-06 13:05:51+00:00,thoughts and prayers with all those affected by the earthquakes in syria and turkey ya allah hv mercy on muslim ummah every one is suffering either by natural disasters or by induced suppressed by supressors 
Pray for Turkey and Syria🙏❤️,2023-02-06 13:05:54+00:00,pray for turkey and syria 
Pope Francis’s telegrams to Turkey and  following the  promising prayers and expressing closeness to both nations.  ,2023-02-06 13:05:54+00:00,pope francis telegrams to turkey and following the promising prayers and expressing closeness to both nations 
Big breaking turkey earthquake7.8 pointer centralised turkey     ,2023-02-06 13:05:56+00:00,big breaking turkey earthquake pointer centralised turkey 
"Mathrubhumi English | Evening Brief | February 06, 2023      ",2023-02-06 13:05:57+00:00,mathrubhumi english evening brief february 
"Very sad day for the people of  &amp;  after a devastating earthquake caused so many deaths, and many people still trapped under the rubble 💔 ",2023-02-06 13:05:57+00:00,very sad day for the people of amp after devastating earthquake caused so many deaths and many people still trapped under the rubble 
God Save  Second strong earthquake of 7.8 MAG shakes the Middle East region.Another  just hit ,2023-02-06 13:05:57+00:00,god save second strong earthquake of mag shakes the middle east region another just hit 
For the people in   ,2023-02-06 13:05:59+00:00,for the people in 
Biggest plot twist in  would be Man Utd winning it,2023-02-06 13:06:00+00:00,biggest plot twist in would be man utd winning it
" This is like human made disasters    , ,",2023-02-06 13:06:04+00:00, this is like human made disasters 
" death toll rises to 1,014, emergency management says",2023-02-06 13:06:05+00:00, death toll rises to emergency management says
"Turkey has declared a fourth level alert state. The ""level 4"" alarm condition includes an international call for help. For those of you around the world reading this message.. Our people who were under the rubble of earthquake in my country need your help to be saved. ",2023-02-06 13:06:09+00:00,turkey has declared fourth level alert state the level alarm condition includes an international call for help for those of you around the world reading this message our people who were under the rubble of earthquake in my country need your help to be saved 
"ℹEvent wrap-up: today a M6.0  ( hit  ( at 15:02:11 local time (UTC 12:02:11). Shaking was felt over 600km by approximately 78M people in Turkey, Syria, Cyprus, Georgia, Syrian Arab Republic and Lebanon.",2023-02-06 13:06:10+00:00,ℹevent wrap up today hit at local time utc smile shaking was felt over km by approximately people in turkey syria cyprus georgia syrian arab republic and lebanon 
This researcher warned two days ago  ,2023-02-06 13:06:11+00:00,this researcher warned two days ago 
He predicted it a couple of days back 😳    ,2023-02-06 13:06:12+00:00,he predicted it couple of days back 
For everybody in Turkey and 🇸🇾 there is an other Earthquake expected between 17;00 and 19:00 please stay safe     ,2023-02-06 13:06:15+00:00,for everybody in turkey and there is an other earthquake expected between and please stay safe 
Thoughts and prayers for all affected by a massive 7.8 magnitude  hit in  Large scale destruction and loss of lives being reported.   ,2023-02-06 13:06:17+00:00,thoughts and prayers for all affected by massive magnitude hit in large scale destruction and loss of lives being reported 
Devastating news out of  Another building collapse in the aftermath of the aftershocks while rescue teams were looking for survivors   ,2023-02-06 13:06:17+00:00,devastating news out of another building collapse in the aftermath of the aftershocks while rescue teams were looking for survivors 
"Dear non-Turkish friends, please read:There has been two destructive earthquakes (magnitudes 7.8 &amp; 7.6) in southeastern Turkey today. We do not know how many people has died or how many are under the rubbles of thousands of buildings collapsed. (1/2)   ",2023-02-06 13:06:34+00:00,dear non turkish friends please read there has been two destructive earthquakes magnitudes amp in southeastern turkey today we do not know how many people has died or how many are under the rubbles of thousands of buildings collapsed 
The air corridor established by the Turkish military to transport aid to the earthquake zone is actively in use with their transport aircraft.    ,2023-02-06 13:06:38+00:00,the air corridor established by the turkish military to transport aid to the earthquake zone is actively in use with their transport aircraft 
May Allah protect them All 🙏  ,2023-02-06 13:06:38+00:00,may allah protect them all 
🔔 ( M4.7 occurred 27 km NW of  ( 30 min ago (local time 15:37:05). More info at:📱🌐🖥 ,2023-02-06 13:06:40+00:00, occurred km nw of min ago local time smile more info at 
Heartbreaking visuals coming from   and  after a massive  May Allah protect them all from every sorts of natural and artificial disaster Ameen  🤲🏻    ,2023-02-06 13:06:41+00:00,heartbreaking visuals coming from and after massive may allah protect them all from every sorts of natural and artificial disaster ameen 
"Major destruction in Elbistan,  which is near the epicenter of the new  ",2023-02-06 13:06:42+00:00,major destruction in elbistan which is near the epicenter of the new 
"Latest  reporting. 925 people have lost their lives. Over 2,000 rescued from under the rubble.  ",2023-02-06 13:06:46+00:00,latest reporting people have lost their lives over rescued from under the rubble 
Pakistan stands with Turkiye in this hour of grief &amp; ready to extend all possible assistance. ,2023-02-06 13:06:53+00:00,pakistan stands with turkiye in this hour of grief amp ready to extend all possible assistance 
"Woke up to an intense shaking and loud sound of the  in  They say it was only 3.8, but felt like a 7! 😲 I think it's no coincidence that  occurred less than an hour after ",2023-02-06 13:06:54+00:00,woke up to an intense shaking and loud sound of the in they say it was only but felt like think it no coincidence that occurred less than an hour after 
"India to send search &amp; rescue teams, medical teams to Two teams of  comprising 100 personnel with specially trained dog squads, medical teams and necessary equipments will be dispatched in coordination.   ",2023-02-06 13:06:55+00:00,india to send search amp rescue teams medical teams to two teams of comprising personnel with specially trained dog squads medical teams and necessary equipments will be dispatched in coordination 
Form 👇      ,2023-02-06 13:06:56+00:00,form 
Scary visuals ,2023-02-06 13:06:58+00:00,scary visuals 
The map tells all the story.It literally looks like a fault line just broke and it still keeps moving.I hope it won't bring more sad news.    ,2023-02-06 13:07:03+00:00,the map tells all the story it literally looks like fault line just broke and it still keeps moving hope it won bring more sad news 
"Those wishing to donate to the  victims in  The info comes via the official website of the Turkish Ministry Of Interior, Disaster And Emergency ⤵️🙏   ",2023-02-06 13:07:03+00:00,those wishing to donate to the victims in the info comes via the official website of the turkish ministry of interior disaster and emergency 
" | Huge quake topples Turkey, Syria     ",2023-02-06 13:07:04+00:00, huge quake topples turkey syria 
 has been shocked by 7.5 magnitude of earthquake twice. Prayers needed for our brothers and sisters       ,2023-02-06 13:07:09+00:00, has been shocked by magnitude of earthquake twice prayers needed for our brothers and sisters 
Hatay      ,2023-02-06 13:07:13+00:00,hatay 
❗Update:  ( M4.8 occurred 21 km W of  ( 2hr 1min ago (local time 14:05:44). Info at:📱🌐🖥 ,2023-02-06 13:07:15+00:00, update occurred km of hr min ago local time smile info at 
Horrific video of A residential building crumbles down in blink of an eye    ,2023-02-06 13:07:23+00:00,horrific video of residential building crumbles down in blink of an eye 
  Prayers for the citizen of two countries..!🙏🇮🇳,2023-02-06 13:07:29+00:00, prayers for the citizen of two countries 
"Praying for everyone affected in Turkey, Lebanon and Syria 🙏",2023-02-06 13:07:32+00:00,praying for everyone affected in turkey lebanon and syria 
" update:- Biggest disaster in Turkey since 1939- 2 separate earthquakes both over 7.5- 1000+ confirmed deaths - 3000+ buildings destroyed,incl hospitals- 1000s left homeless &amp;roads destroyed- Harsh weather conditions persist - 45 countries have offered aid",2023-02-06 13:07:38+00:00, update biggest disaster in turkey since separate earthquakes both over confirmed deaths buildings destroyed incl hospitals left homeless amp roads destroyed harsh weather conditions persist countries have offered aid
Thoughts are with people in Turkey and Syria  🙏,2023-02-06 13:07:39+00:00,thoughts are with people in turkey and syria 
"BREAKING: A 3rd Earthquake just hit  30 minutes ago, this time 7.5 on the Richter scale. Drone footage as rescuers in Turkish cities search for earthquake survivors.   -  ",2023-02-06 13:07:50+00:00,breaking rd earthquake just hit minutes ago this time on the richter scale drone footage as rescuers in turkish cities search for earthquake survivors 
"4.10 pm IstanbulTurkiye: 1,014 killed, thousand woundedSyria: 783 killedDeath toll: 1,797 2x  quakes, both  7.5 SR, 1.39 &amp; 1.55 pm Istanbul.Today  strongest @ Turkiye since 1939 (7.9 SR @ Erzincan, 30,000 died)",2023-02-06 13:07:53+00:00, pm istanbulturkiye killed thousand woundedsyria killeddeath toll quakes both sr amp pm istanbul today strongest turkiye since sr erzincan died 
🚨BREAKING : Death toll crossed 2000 in deadly  in  &amp;  More than 10000 people are injured while nearly half a million people are still untraceable. ,2023-02-06 13:07:57+00:00, breaking death toll crossed in deadly in amp more than people are injured while nearly half million people are still untraceable 
"Please everyone pleasee 🙏🏻 the only way i can help these victims is donate, the weather is very cold, there is a snowstorm. people will need food and basic necessities. please help my country please save us  ",2023-02-06 13:07:59+00:00,please everyone pleasee the only way can help these victims is donate the weather is very cold there is snowstorm people will need food and basic necessities please help my country please save us 
India sent relife material &amp; 2 teams of  to help 🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳          ,2023-02-06 13:08:05+00:00,india sent relife material amp teams of to help 
"""May Allah almighty protect our brother and sister💔prayers for turkiye🤲🤲  ",2023-02-06 13:08:06+00:00, may allah almighty protect our brother and sister prayers for turkiye 
So sad for  and  victims.,2023-02-06 13:08:11+00:00,so sad for and victims 
"Binance Futures, ByBit USDT All take-profit targets achieved 😎Profit: 43.7063% 📈Period: 3 Hours 27 Minutes ⏰    ",2023-02-06 13:08:11+00:00,binance futures bybit usdt all take profit targets achieved profit period hours minutes 
"Following the deadly 7.7 magnitude earthquake in southeastern  that left at least a thousand people dead and more than 7,000 others injured, condolence messages are pouring, with many int'l leaders expressing grief after hearing the news.  -  ",2023-02-06 13:08:13+00:00,following the deadly magnitude earthquake in southeastern that left at least thousand people dead and more than others injured condolence messages are pouring with many int leaders expressing grief after hearing the news 
India's Black Day 😭😭          ,2023-02-06 13:08:27+00:00,india black day 
 Prayers 🙏for Turkey 🇹🇷 Syria 🇸🇾 Lebanon 🇱🇧  May Allah help and protect those who are affected 🤲Buildings continue to collapse due to AFTERSHOCKS  Powerful 7.8           ,2023-02-06 13:08:28+00:00, prayers for turkey syria lebanon may allah help and protect those who are affected buildings continue to collapse due to aftershocks powerful 
At least 18 aftershocks with magnitude of up to 5.7 Children miraculously pulled out alive from rubble in city of Kahramanmarash  .           ,2023-02-06 13:08:29+00:00,at least aftershocks with magnitude of up to children miraculously pulled out alive from rubble in city of kahramanmarash 
  caring of the nature     ,2023-02-06 13:08:29+00:00, caring of the nature 
"It's sad that Erdogan needed an earthquake to humble himself,finally requesting help from the same Western countries he constantly provoked and threatened.I hope this horrible experience really change his mindset from now on.Our 💕 goes out to the people. ",2023-02-06 13:08:30+00:00,it sad that erdogan needed an earthquake to humble himself finally requesting help from the same western countries he constantly provoked and threatened hope this horrible experience really change his mindset from now on our goes out to the people 
           and  Hits Turkeye simultaneously,2023-02-06 13:08:30+00:00, and hits turkeye simultaneously
  Read this appeal!Now the death toll is 1639. ,2023-02-06 13:08:32+00:00, read this appeal now the death toll is 
"Pray for Turkey, Syria and Palestine 😢 💔💔💔 ",2023-02-06 13:08:37+00:00,pray for turkey syria and palestine 
"🇹🇷 🇶🇦 In Implementation of HH the Amir Directives, First Flights of Air Bridge from Qatar to Turkey Launches |  ",2023-02-06 13:08:39+00:00, in implementation of hh the amir directives first flights of air bridge from qatar to turkey launches 
Scary footage of the earthquake in Turkey 🇹🇷 May Allah protect them all. ,2023-02-06 13:08:41+00:00,scary footage of the earthquake in turkey may allah protect them all 
"PAM is saddened by major  that hit   and  causing the loss of over 1875 people and thousands injured. PAM expresses solidarity with these countries, offers support facilitating mobilisation of international assistance   ",2023-02-06 13:08:51+00:00,pam is saddened by major that hit and causing the loss of over people and thousands injured pam expresses solidarity with these countries offers support facilitating mobilisation of international assistance 
Everyone if you can please donate here to help people of Turkey. We just got hit by another 7.5 magnitude earthquake. Please try to help or at least rt so it can reach more people 🙏You can donate there via this link:   ,2023-02-06 13:08:52+00:00,everyone if you can please donate here to help people of turkey we just got hit by another magnitude earthquake please try to help or at least rt so it can reach more people you can donate there via this link 
Turkey needs help...,2023-02-06 13:08:52+00:00,turkey needs help 
Horrific scenes.The world should unite to help turkey in this time of crisis and tragedy.Prayers for the people and animals affected by back to back high intensity earthquake.The visuals are terrifying.      ,2023-02-06 13:08:53+00:00,horrific scenes the world should unite to help turkey in this time of crisis and tragedy prayers for the people and animals affected by back to back high intensity earthquake the visuals are terrifying 
Thinking about the victims of the   and of the   Wishing a prompt recovery to the local communities.,2023-02-06 13:09:03+00:00,thinking about the victims of the and of the wishing prompt recovery to the local communities 
May Allah almighty protect people of Turkey (Ameen) ,2023-02-06 13:09:06+00:00,may allah almighty protect people of turkey ameen 
"Deeply saddened with the news of massive earthquake in   and  May Allah have mercy on the deceased, help all affected by this catastrophe. إِنَّا ِلِلَّٰهِ وَإِنَّا إِلَيْهِ رَاجِعُونَ   ",2023-02-06 13:09:08+00:00,deeply saddened with the news of massive earthquake in and may allah have mercy on the deceased help all affected by this catastrophe إ ن ا ل ل ه و إ ن ا إ ل ي ه ر اج ع ون 
I'm still trying to reach out to some friends &amp; their families in the region. I hope international rescue support could reach those cities &amp; towns as soon as possible. ,2023-02-06 13:09:10+00:00, still trying to reach out to some friends amp their families in the region hope international rescue support could reach those cities amp towns as soon as possible 
🚨Hatayspor forward Cristian Atsu🇬🇭and director Taner Savut have been left under the rubble after the earthquake in Türkiye.   ,2023-02-06 13:09:14+00:00, hatayspor forward cristian atsu and director taner savut have been left under the rubble after the earthquake in türkiye 
How the highway looks like like after the earthquake today in Turkey You can imagine how severe the earthquake was.    ,2023-02-06 13:09:14+00:00,how the highway looks like like after the earthquake today in turkey you can imagine how severe the earthquake was 
My heart goes out to you and to all the people affected 💔 sending you a lot of prayers  ,2023-02-06 13:09:17+00:00,my heart goes out to you and to all the people affected sending you lot of prayers 
"Dear Lord,We beg, the year just started!🤲🙏   ",2023-02-06 13:09:25+00:00,dear lord we beg the year just started 
Destruction in Hatay and Iskanderun.  .           ,2023-02-06 13:09:28+00:00,destruction in hatay and iskanderun 
We must pray and support our brothers and sisters under such catastrophe.    ,2023-02-06 13:09:34+00:00,we must pray and support our brothers and sisters under such catastrophe 
Our heartfelt condolences go out to the people of Turkey who have been affected by the earthquake. We stand with you in solidarity during this difficult time.🇹🇷🙏  ,2023-02-06 13:09:35+00:00,our heartfelt condolences go out to the people of turkey who have been affected by the earthquake we stand with you in solidarity during this difficult time 
 The road collapsed due to the earthquake in Reyhanlı  ,2023-02-06 13:09:44+00:00, the road collapsed due to the earthquake in reyhanlı 
"Black day🖤7.8 Magnitude Earthquake Hits Turkey, Syria, Jordan And Lebanon...The Level Of Destruction Caused By The Earthquake In Turkey Makes It Look Like A War Zone And Declares Emergency...PRAY FOR TURKEY 🇹🇷..    ",2023-02-06 13:09:47+00:00,black day magnitude earthquake hits turkey syria jordan and lebanon the level of destruction caused by the earthquake in turkey makes it look like war zone and declares emergency pray for turkey 
Momento of the  in TLV. My heart goes out for    ,2023-02-06 13:09:48+00:00,momento of the in tlv my heart goes out for 
Another Heart-Shattering Video of  from    ,2023-02-06 13:09:50+00:00,another heart shattering video of from 
My thoughts are with people of  now...  I hope there's enough and quick help on the way...,2023-02-06 13:09:52+00:00,my thoughts are with people of now hope there enough and quick help on the way 
The  was so bad we felt it all the way in ,2023-02-06 13:09:54+00:00,the was so bad we felt it all the way in 
My heart and prayers are with Turkey and Syria. The earthquake has caused so much loss of life. I pray for the safety of the rescuers and those providing aid on site.  ,2023-02-06 13:09:55+00:00,my heart and prayers are with turkey and syria the earthquake has caused so much loss of life pray for the safety of the rescuers and those providing aid on site 
"India shows in action what she says in words - Vasudhaiva Kutumbhakam! 2 teams of 100 NDRF personnel, dog squads, medical teams and relief material to be sent to  and  in the wake of the devastation.    ",2023-02-06 13:09:56+00:00,india shows in action what she says in words vasudhaiva kutumbhakam teams of ndrf personnel dog squads medical teams and relief material to be sent to and in the wake of the devastation 
Erdogan calls this earthquake the biggest disaster the country has faced since 1939.,2023-02-06 13:09:58+00:00,erdogan calls this earthquake the biggest disaster the country has faced since 
Tag your Bestii in the Comments 😂Download   and save up to 60%                      ,2023-02-06 13:09:59+00:00,tag your bestii in the comments download and save up to 
"""We neither want water nor food. We want a search and rescue team. There is no search and rescue team. We demand it wherever there is in the world"" - Hatay, TURKEY   ",2023-02-06 13:10:04+00:00, we neither want water nor food we want search and rescue team there is no search and rescue team we demand it wherever there is in the world hatay turkey 
My heart and prayers go out to all the Turkish and Syrian people affected by the two earthquakes        🤲🏻😔,2023-02-06 13:10:09+00:00,my heart and prayers go out to all the turkish and syrian people affected by the two earthquakes 
"🙏🏻 for   all the victims, their families, the people who are worried about their relatives, and of course all the first responders and frontline workers.  ",2023-02-06 13:10:13+00:00, for all the victims their families the people who are worried about their relatives and of course all the first responders and frontline workers 
"Allah have mercy on people who are still under the wreckage , protect search and rescue teams.🙏🙏🙏     ",2023-02-06 13:10:13+00:00,allah have mercy on people who are still under the wreckage protect search and rescue teams 
 ( M4.0 strikes 11 km SW of  ( 31 min ago. More info: ,2023-02-06 13:10:17+00:00, strikes km sw of min ago more info 
"My heartfelt condolences to those who lost their loved ones in the devastating earthquakes in Turkey and Syria. I wish the injured a speedy recovery, and I pray that God will heal them as soon as possible.     ",2023-02-06 13:10:18+00:00,my heartfelt condolences to those who lost their loved ones in the devastating earthquakes in turkey and syria wish the injured speedy recovery and pray that god will heal them as soon as possible 
" Hey man, we need your help in Turkey.  ",2023-02-06 13:10:21+00:00, hey man we need your help in turkey 
🔔 ( M4.4 occurred 16 km W of  ( 22 min ago (local time 15:47:59). More info at:📱🌐🖥 ,2023-02-06 13:10:22+00:00, occurred km of min ago local time smile more info at 
Our heart goes out to the families affected by the tragic event of the earthquake in   and     ,2023-02-06 13:10:23+00:00,our heart goes out to the families affected by the tragic event of the earthquake in and 
"  Sir, PLEASE just watch  this HempCrete ®️ test tile was deliberately broken, burnt HempCrete 17×50mm tile HempCrete ®️ burn conclusionraw strength of HempCrete",2023-02-06 13:10:24+00:00, sir please just watch this hempcrete test tile was deliberately broken burnt hempcrete mm tile hempcrete burn conclusionraw strength of hempcrete
Israel has offered assistance to both Turkey and Syria following last night's deadly and devastating earthquake. Syria requested aid from  which is an extremely rare occurrence. Our hearts go out to everyone impacted by this tragedy.🕯️  ,2023-02-06 13:10:25+00:00,israel has offered assistance to both turkey and syria following last night deadly and devastating earthquake syria requested aid from which is an extremely rare occurrence our hearts go out to everyone impacted by this tragedy 
Can't view videos and photos at all it's so painful..!! oh god please save to all people of  ,2023-02-06 13:10:28+00:00,can view videos and photos at all it so painful oh god please save to all people of 
 Shahrukh has decided to donate all his  earning to ,2023-02-06 13:10:33+00:00, shahrukh has decided to donate all his earning to 
Devastating news 😢  ,2023-02-06 13:10:34+00:00,devastating news 
🚨 There was indeed a great disaster:I hope we don't have any loss and everyone is safe. Wish a speedy recovery to all our friends &amp; their family who were affected by the  🙏🏻🙏🏻   ,2023-02-06 13:10:34+00:00, there was indeed great disaster hope we don have any loss and everyone is safe wish speedy recovery to all our friends amp their family who were affected by the 
"Today is a very difficult day for Turkey and Syria 💔 I am very sorry for those who lost their family members, relatives or friends. Please stay safe, we are all praying for you and hope all goes well 🙏❤️   ",2023-02-06 13:10:35+00:00,today is very difficult day for turkey and syria am very sorry for those who lost their family members relatives or friends please stay safe we are all praying for you and hope all goes well 
"  I Know It's Nowhere Near As Bad As The  Yet, It's Still Pretty Uncommon.",2023-02-06 13:10:43+00:00, know it nowhere near as bad as the yet it still pretty uncommon 
"Terrible tragedy in Turkey and true to Ukraines humanity, they have expressed their concerns and offered help. 🇹🇷🤝🏾🇺🇦 😢",2023-02-06 13:10:43+00:00,terrible tragedy in turkey and true to ukraines humanity they have expressed their concerns and offered help 
Pray for  ,2023-02-06 13:10:44+00:00,pray for 
" UK send immediate support to Turkiye, including a team of 76 rescue specialists    ",2023-02-06 13:10:49+00:00, uk send immediate support to turkiye including team of rescue specialists 
This is devastating news.  Prayers for the people of  ,2023-02-06 13:10:49+00:00,this is devastating news prayers for the people of 
" hit Turkey, Syria &amp; Palestine. May Allah protect each and every individual who is fighting for their survival.   ",2023-02-06 13:10:53+00:00, hit turkey syria amp palestine may allah protect each and every individual who is fighting for their survival 
"After the 7.8 magnitude earthquake that occurred in southeastern  a 7.5 magnitude  occurred, at which time a building collapsed... ",2023-02-06 13:10:58+00:00,after the magnitude earthquake that occurred in southeastern magnitude occurred at which time building collapsed 
India has dispatched Rescue Team &amp; Medical help to Turkey 🇹🇷🇮🇳   ,2023-02-06 13:11:04+00:00,india has dispatched rescue team amp medical help to turkey 
"📌   was another  at  Powerful 7.8 magnitude.A 10-storey building, which was heavily damaged, collapsed in       ",2023-02-06 13:11:06+00:00, was another at powerful magnitude storey building which was heavily damaged collapsed in 
"Few SDRs available in earthquake affected area of ​​Turkey, but something coming to HΛΕΚΤΡΟΝ Thessaloniki GRI'm not sure if the communications heard are from the devastated areas!  ",2023-02-06 13:11:08+00:00,few sdrs available in earthquake affected area of turkey but something coming to hλεκτρον thessaloniki gri not sure if the communications heard are from the devastated areas 
Gaziantep: Camera recording of the earthquake  ,2023-02-06 13:11:09+00:00,gaziantep camera recording of the earthquake 
 Here are the latest developments from India and abroad   ,2023-02-06 13:11:19+00:00, here are the latest developments from india and abroad 
Prayers for Turkey  O’Allah have mercy on us. Many lives are struggling under debris.. so painful to imagine.  ,2023-02-06 13:11:19+00:00,prayers for turkey allah have mercy on us many lives are struggling under debris so painful to imagine 
EMERGENCY - HELP for  TURKIYE FOR RESCUING PEOPLE UNDER DESTROYED BUILDING     ,2023-02-06 13:11:20+00:00,emergency help for turkiye for rescuing people under destroyed building 
Remember in your prayers  ,2023-02-06 13:11:23+00:00,remember in your prayers 
"May Allah Protect Our Brothers and Sisters.Prayers For Turkiye ,Syria And All Other Countries Affected By Earthquake. 💔   ",2023-02-06 13:11:30+00:00,may allah protect our brothers and sisters prayers for turkiye syria and all other countries affected by earthquake 
CS engineers after processing 2 PAN card requests on single day             ,2023-02-06 13:11:33+00:00,cs engineers after processing pan card requests on single day 
Many of our Citizens live in Turkey and please stay safe. My Heart goes to the families with loss!😭🙏🤍💔xx  ,2023-02-06 13:11:34+00:00,many of our citizens live in turkey and please stay safe my heart goes to the families with loss xx 
Central Turkey hit by another huge earthquake of magnitude 6: USGSRead:   ,2023-02-06 13:11:35+00:00,central turkey hit by another huge earthquake of magnitude usgsread 
 Powerful 7.8 and another 7.5 ,2023-02-06 13:11:35+00:00, powerful and another 
"  Heroic footage of your news anchor running in and saving children while the buildings were collapsing, all around them.He's definitely a Hero in my book. should take note and so should the   ",2023-02-06 13:11:40+00:00, heroic footage of your news anchor running in and saving children while the buildings were collapsing all around them he definitely hero in my book should take note and so should the 
A second earthquake of magnitude 7.6 struck southeastern Turkey's Kahramanmaras region   ,2023-02-06 13:11:40+00:00, second earthquake of magnitude struck southeastern turkey kahramanmaras region 
"I hope that all countries of the world will unite at this moment to help all areas affected by this strong earthquake,especially Turkey and Syria. We pray for all who survived, who were injured and for those who lost their loved ones.     ",2023-02-06 13:11:43+00:00, hope that all countries of the world will unite at this moment to help all areas affected by this strong earthquake especially turkey and syria we pray for all who survived who were injured and for those who lost their loved ones 
